Fiscal year,Proc Categ,Major Sector,Proc Type,Proc Meth,Proj Name,Proj ID,Len Instr Type,Lending Instr,Contract,Bor Ctr Ref #,#  Addendums,Ctr Awd Date,Supplier,Supp Ctry,Amount
1999,Goods,Water/sanit/fld prot,"Equipment, Water Supply and Sewerage",International Shopping,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,PIPE WELDING EQUIPMENT,2-IS-4,#,5/19/1999,"MASKELL-ROBBINS, INC. (USA)",United States,"67,318"
1999,Goods,Industry and trade,"Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,PROCUREMENT OF LABORATORY EQUIPMENT,C.2615.MOG.RD.0398.001,#,1/6/1999,ANGELIQUE INT'L,India,"35,741"
1999,Goods,Industry and trade,"Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"ITEM 1-FRONT LOADER, 2-MOTOR GRADER, 3-WHEELED EXCAVATOR",C.2615MOG.RD.0498.001,#,11/17/1998,ITOCHU CORPORATION,Japan,"63,546"
1999,Goods,Industry and trade,"Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,ITEM 3 - PNEUMATIC RYRED ROLLER,C.2615MOG.RD.0498.002,#,11/17/1998,ANGELIQUE INTERNATIONAL,India,"26,991"
2000,Consultant Services,"Public admin, Law",Implementation Activity,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"CONS. SERV. FOR DESIGN, INSTALLATION AND IMPLEMENT. OF MIS",C-2615-MOG/MR/MIS/0599,#,9/28/1999,HALCROW RAIL,United Kingdom,"12,450"
2000,Consultant Services,"Public admin, Law",Implementation Activity,Quality And Cost-Based Selection,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,ASSISTANCE TO USAG FOR FINANCIAL MANAGEMENT AND ACCOUNTING,1TAT4: ASSISTANCE TO USAG,#,10/4/1999,HIFAB INTERNATIONAL,Sweden,"27,804"
2000,Consultant Services,"Public admin, Law",Implementation Activity,Quality And Cost-Based Selection,MN-PRIV.SEC. DEVT CR,P049789,INVESTMENT,SPECIFIC INVEST LN,"STRATEGIC-BUSINESS PLANNING,TERM LENDING CAPACITY BLDG, MIS,",FISCHER WOODBRIDGE CONSULTING GR,#,5/24/2000,"FISCHER WOODBRIDGE CONSULTING GROUP, UK",United Kingdom,"4,043"
2000,Consultant Services,"Public admin, Law",Implementation Activity,Single Source Selection,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,MAINTENANCE MANAGEMENT FOR USAG,3TAT1,#,3/4/2000,NANCIE,France,"7,500"
2000,Consultant Services,Finance,Implementation Activity,Quality And Cost-Based Selection,MN-PRIV.SEC. DEVT CR,P049789,INVESTMENT,SPECIFIC INVEST LN,"STRATEGIC-BUSINESS PLANNING,TERM LENDING CAPACITY BLDG, MIS,",FISCHER WOODBRIDGE CONSULTING GR,#,5/24/2000,"FISCHER WOODBRIDGE CONSULTING GROUP, UK",United Kingdom,"30,326"
2000,Consultant Services,Energy & mining,Implementation Activity,Single Source Selection,MONGOLIA COAL PROJ.,P035697,INVESTMENT,SPECIFIC INVEST LN,COAL SECTOR STRATEGY TECHNICAL ASSISTANCE,IMC CONSULTING LIMITED,#,7/9/1999,IMC,United Kingdom,"100,000"
2000,Consultant Services,Transportation,Implementation Activity,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"CONS. SERV. FOR DESIGN, INSTALLATION AND IMPLEMENT. OF MIS",C-2615-MOG/MR/MIS/0599,#,9/28/1999,HALCROW RAIL,United Kingdom,"365,200"
2000,Consultant Services,Water/sanit/fld prot,Implementation Activity,Quality And Cost-Based Selection,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,ASSISTANCE TO USAG FOR FINANCIAL MANAGEMENT AND ACCOUNTING,1TAT4: ASSISTANCE TO USAG,#,10/4/1999,HIFAB INTERNATIONAL,Sweden,"528,276"
2000,Consultant Services,Water/sanit/fld prot,Implementation Activity,Single Source Selection,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,MAINTENANCE MANAGEMENT FOR USAG,3TAT1,#,3/4/2000,NANCIE,France,"142,500"
2000,Consultant Services,Industry and trade,Implementation Activity,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"CONS. SERV. FOR DESIGN, INSTALLATION AND IMPLEMENT. OF MIS",C-2615-MOG/MR/MIS/0599,#,9/28/1999,HALCROW RAIL,United Kingdom,"37,350"
2000,Consultant Services,Industry and trade,Implementation Activity,Quality And Cost-Based Selection,MN-PRIV.SEC. DEVT CR,P049789,INVESTMENT,SPECIFIC INVEST LN,"STRATEGIC-BUSINESS PLANNING,TERM LENDING CAPACITY BLDG, MIS,",FISCHER WOODBRIDGE CONSULTING GR,#,5/24/2000,"FISCHER WOODBRIDGE CONSULTING GROUP, UK",United Kingdom,"167,801"
2000,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"RD-0498, EARTH MOVING EQUIPMENTS, ITEMS A, A1 AND B","RD-0498, ITEMS A, A1 AND B",#,6/13/2000,ITOCHU CORPORATION,Japan,"7,510"
2000,Civil Works,"Public admin, Law","Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF HEATER HOUSE AND SECURITY SHED FOR YARMAG RE,1E2-A1,#,5/11/2000,MILITARY CONSTRUCTION BOARD,Mongolia,"1,424"
2000,Civil Works,"Public admin, Law","Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF HEATING SYSTEM FOR YARMAG AND HAILAAST RESER,1E2-B,#,1/17/2000,ZUUN NAIMAN SUVARGA,Mongolia,"3,359"
2000,Civil Works,Transportation,"Works, Infrastructure",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"RD-0498, EARTH MOVING EQUIPMENTS, ITEMS A, A1 AND B","RD-0498, ITEMS A, A1 AND B",#,6/13/2000,ITOCHU CORPORATION,Japan,"220,289"
2000,Civil Works,Water/sanit/fld prot,"Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF HEATER HOUSE AND SECURITY SHED FOR YARMAG RE,1E2-A1,#,5/11/2000,MILITARY CONSTRUCTION BOARD,Mongolia,"27,061"
2000,Civil Works,Water/sanit/fld prot,"Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF HEATING SYSTEM FOR YARMAG AND HAILAAST RESER,1E2-B,#,1/17/2000,ZUUN NAIMAN SUVARGA,Mongolia,"63,827"
2000,Civil Works,Industry and trade,"Works, Infrastructure",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"RD-0498, EARTH MOVING EQUIPMENTS, ITEMS A, A1 AND B","RD-0498, ITEMS A, A1 AND B",#,6/13/2000,ITOCHU CORPORATION,Japan,"22,530"
2000,Goods,"Public admin, Law","Equipment, Construction",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,ITEM C: WHEELED EXCAVATOR,"IFB NO. RD-0498, ITEM C",#,6/13/2000,"MASTER CONSULTING AND TRADING CO., LTD., MONGOLIA",Mongolia,"4,764"
2000,Goods,"Public admin, Law","Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,SUPPLY AND INSTALLATION AND COMMISSIONING OF URBAN TRANSPORT,C-2615-MOG/CTCD-001-1099/I,#,2/23/2000,ANGELIQUE INTERNATIONAL,India,"9,740"
2000,Goods,"Public admin, Law","Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"PACKAGE II, SUPPLY & INSTALLATION AND COMMISSIONING OF URBAN",C-2615-MOG/CTCD-001-1099/II,#,2/23/2000,MARUBENI CORPORATION,Japan,"3,410"
2000,Goods,"Public admin, Law","Equipment, Transportation",International Competitive Bidding,"MN-BANK,ENT,LEG,TA(BELT",P047683,INVESTMENT,TECHNICAL ASSIST LN,PROCUREMENT OF VEHICLES FOR THE GENERAL OFFICE FOR ENFORCEME,IFB NO. WB1041-517-99,#,4/18/2000,ANGELIQUE INT'L,India,"103,411"
2000,Goods,"Public admin, Law","Equipment, Transportation",National Competitive Bidding,MN-Fiscal Technical Assistance,P051855,INVESTMENT,TECHNICAL ASSIST LN,THREE MERCEDES BENZ SPRINTERS,MONGOLIA STAR MELCHERS COMPANY,#,6/9/2000,MONGOLIAN STAR MELCHERS COMPANY LTD.,Mongolia,"85,691"
2000,Goods,"Public admin, Law","Equipment, Water Supply and Sewerage",International Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,SUPPLY OF PREINSULATED POLYETHYLENE WATER PIPES AND FITTINGS,2F1,#,3/12/2000,CHINA TIANCHEN CHEMICAL ENGINEERING CORP.,China,"97,736"
2000,Goods,Finance,"Equipment, Transportation",International Competitive Bidding,"MN-BANK,ENT,LEG,TA(BELT",P047683,INVESTMENT,TECHNICAL ASSIST LN,PROCUREMENT OF VEHICLES FOR THE GENERAL OFFICE FOR ENFORCEME,IFB NO. WB1041-517-99,#,4/18/2000,ANGELIQUE INT'L,India,"44,319"
2000,Goods,Transportation,"Equipment, Construction",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,ITEM C: WHEELED EXCAVATOR,"IFB NO. RD-0498, ITEM C",#,6/13/2000,"MASTER CONSULTING AND TRADING CO., LTD., MONGOLIA",Mongolia,"139,756"
2000,Goods,Transportation,"Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,SUPPLY AND INSTALLATION AND COMMISSIONING OF URBAN TRANSPORT,C-2615-MOG/CTCD-001-1099/I,#,2/23/2000,ANGELIQUE INTERNATIONAL,India,"285,710"
2000,Goods,Transportation,"Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"PACKAGE II, SUPPLY & INSTALLATION AND COMMISSIONING OF URBAN",C-2615-MOG/CTCD-001-1099/II,#,2/23/2000,MARUBENI CORPORATION,Japan,"100,013"
2000,Goods,Water/sanit/fld prot,"Equipment, Water Supply and Sewerage",International Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,SUPPLY OF PREINSULATED POLYETHYLENE WATER PIPES AND FITTINGS,2F1,#,3/12/2000,CHINA TIANCHEN CHEMICAL ENGINEERING CORP.,China,"1,856,980"
2000,Goods,Industry and trade,"Equipment, Construction",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,ITEM C: WHEELED EXCAVATOR,"IFB NO. RD-0498, ITEM C",#,6/13/2000,"MASTER CONSULTING AND TRADING CO., LTD., MONGOLIA",Mongolia,"14,293"
2000,Goods,Industry and trade,"Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,SUPPLY AND INSTALLATION AND COMMISSIONING OF URBAN TRANSPORT,C-2615-MOG/CTCD-001-1099/I,#,2/23/2000,ANGELIQUE INTERNATIONAL,India,"29,220"
2000,Goods,Industry and trade,"Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"PACKAGE II, SUPPLY & INSTALLATION AND COMMISSIONING OF URBAN",C-2615-MOG/CTCD-001-1099/II,#,2/23/2000,MARUBENI CORPORATION,Japan,"10,229"
2001,Consultant Services,"Public admin, Law",Implementation Activity,Selection Under a Fixed Budget,"MN-BANK,ENT,LEG,TA(BELT",P047683,INVESTMENT,TECHNICAL ASSIST LN,WB1042-510/01 SP 4(B) & 5 BANKING LAW TRG FOR JUDGES & ENFOR,WB1042-510/01,#,2/22/2001,INTERNATIONAL LAW INSTITUTE,United States,"89,358"
2001,Consultant Services,"Public admin, Law",Implementation Activity,Single Source Selection,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,ULAANBAATAR WATER SUPPLY NETWORK MODELLING,3TAT3,#,8/25/2000,COLD REGIONS TECHNOLOGY INC.,United States,"3,547"
2001,Consultant Services,"Public admin, Law",Implementation Activity,Single Source Selection,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,"SUPERVISION CONSULTANCY (REVISED CONTRACT OF SAME DATE, RCVD",4TAT1,1,1/16/2001,COLD REGIONS TECHNOLOGY INC.,United States,"29,814"
2001,Consultant Services,Finance,Implementation Activity,Selection Under a Fixed Budget,"MN-BANK,ENT,LEG,TA(BELT",P047683,INVESTMENT,TECHNICAL ASSIST LN,WB1042-510/01 SP 4(B) & 5 BANKING LAW TRG FOR JUDGES & ENFOR,WB1042-510/01,#,2/22/2001,INTERNATIONAL LAW INSTITUTE,United States,"38,296"
2001,Consultant Services,Water/sanit/fld prot,Implementation Activity,Single Source Selection,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,ULAANBAATAR WATER SUPPLY NETWORK MODELLING,3TAT3,#,8/25/2000,COLD REGIONS TECHNOLOGY INC.,United States,"67,392"
2001,Consultant Services,Water/sanit/fld prot,Implementation Activity,Single Source Selection,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,"SUPERVISION CONSULTANCY (REVISED CONTRACT OF SAME DATE, RCVD",4TAT1,1,1/16/2001,COLD REGIONS TECHNOLOGY INC.,United States,"566,464"
2001,Civil Works,"Public admin, Law","Works, Installation & Erection",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,"CONSTRUCTION OF RESERVOIR, HEATER HOUSE AND SECURITY SHED IN",3A1,#,10/22/2000,BAYAN-US CO. LTD,Mongolia,"7,403"
2001,Civil Works,"Public admin, Law","Works, Installation & Erection",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF DRAINS IN DAMBADARJAA AND CHINGELTEI GER ARE,3H,#,8/14/2000,BAIGUULAMJ LIMITED,Mongolia,"21,445"
2001,Civil Works,"Public admin, Law","Works, Installation & Erection",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,INSTALLATION OF POTABLE WATER MAINS PUMPING SYSTEMS,1E1-B,#,4/23/2001,"MONGOL ENERGY SERVICE CO., LTD",Mongolia,"3,209"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF WATER SUPPLY SYSTEMS TO THE KIOSKS IN HAILAA,2B1,#,8/4/2000,HURD,Mongolia,"15,490"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,REHABILITATION OF ERDENESANT-ARVAIHEER ROAD,C-3478-MOG-EA,2,6/21/2001,"JILIN EXPRESSWAY DEVELOPMENT CO., LTD.",China,"722,238"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 1: CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED S,C-3478-MOG-HT-1,#,6/19/2001,"CHM CO., LTD.",Mongolia,"28,074"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 2: CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED S,C-3478-MOG-HT-2,#,6/19/2001,"ARKHANGAI AUTOZAM CO., LTD.",Mongolia,"45,256"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 3: CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED S,C-3478-MOG-HT-3,#,6/19/2001,AZZAN HOLDING COMPANY,Mongolia,"52,167"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 4: CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED S,C-3478-MOG-HT-4,#,6/19/2001,"STROIINVEST CO., LTD.",Mongolia,"31,129"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 5:  CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTION,C-3478-MOG-HT-5,#,6/19/2001,OCHIR CENTRE COMPANY,Mongolia,"23,306"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 6:  CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED,C-3478-MOG-HT-6,#,6/19/2001,"MONROAD CO., LTD.",Mongolia,"43,873"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 7:  CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED,C-3478-MOG-HT-7,#,6/19/2001,"MONROAD CO., LTD.",Mongolia,"51,154"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 8:  CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED,C-3478-MOG-HT-8,#,6/19/2001,"MONGOLIAN EXPRESSWAY CO., LTD.",Mongolia,"24,056"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 9:  CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED,C-3478-MOG-HT-9,#,6/19/2001,"MONGOLIAN EXPRESSWAY CO., LTD.",Mongolia,"21,631"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF ASPHALT CONCRETE ROADS IN DENJIN AND HAILAAS,3H1,#,10/9/2000,ASBI COMPANY,Mongolia,"24,580"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF WATER SUPPLY SYSTEM IN SHAR KHAD GER AREA,3B1-A,#,4/23/2001,PUBLIC CONSTRUCTION SAN SHARE HOLDING COMPANY,Mongolia,"7,498"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF WATER SUPPLY SYSTEM TO KIOSKS IN DENJIN GER,3B1-B,#,3/20/2001,MILITARY CONSTRUCTION BOARD,Mongolia,"13,444"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF FOOTPATH IN HAILAAST GER AREA,3H2,#,5/17/2001,BATZAM,Mongolia,"7,877"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF TRANSMISSION MAIN TO HAILAAST RESERVOIR,1B-2A,#,4/25/2001,KHURD CO.,Mongolia,"22,135"
2001,Civil Works,"Public admin, Law","Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF FOOTPATH IN DENJIN GER AREA,2H2,#,6/27/2001,MANLAI SERVICE,Mongolia,"7,762"
2001,Civil Works,"Public admin, Law","Works, Buildings",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF HEATER AND SECURITY SHED FOR HILAAST RESERVO,1E-2C,#,6/15/2001,SANJAT CO. LTD,Mongolia,"3,907"
2001,Civil Works,Transportation,"Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,REHABILITATION OF ERDENESANT-ARVAIHEER ROAD,C-3478-MOG-EA,2,6/21/2001,"JILIN EXPRESSWAY DEVELOPMENT CO., LTD.",China,"17,333,712"
2001,Civil Works,Transportation,"Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 1: CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED S,C-3478-MOG-HT-1,#,6/19/2001,"CHM CO., LTD.",Mongolia,"673,786"
2001,Civil Works,Transportation,"Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 2: CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED S,C-3478-MOG-HT-2,#,6/19/2001,"ARKHANGAI AUTOZAM CO., LTD.",Mongolia,"1,086,140"
2001,Civil Works,Transportation,"Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 3: CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED S,C-3478-MOG-HT-3,#,6/19/2001,AZZAN HOLDING COMPANY,Mongolia,"1,252,019"
2001,Civil Works,Transportation,"Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 4: CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED S,C-3478-MOG-HT-4,#,6/19/2001,"STROIINVEST CO., LTD.",Mongolia,"747,098"
2001,Civil Works,Transportation,"Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 5:  CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTION,C-3478-MOG-HT-5,#,6/19/2001,OCHIR CENTRE COMPANY,Mongolia,"559,334"
2001,Civil Works,Transportation,"Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 6:  CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED,C-3478-MOG-HT-6,#,6/19/2001,"MONROAD CO., LTD.",Mongolia,"1,052,956"
2001,Civil Works,Transportation,"Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 7:  CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED,C-3478-MOG-HT-7,#,6/19/2001,"MONROAD CO., LTD.",Mongolia,"1,227,699"
2001,Civil Works,Transportation,"Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 8:  CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED,C-3478-MOG-HT-8,#,6/19/2001,"MONGOLIAN EXPRESSWAY CO., LTD.",Mongolia,"577,334"
2001,Civil Works,Transportation,"Works, Infrastructure",International Competitive Bidding,MN-Transport Development,P056200,INVESTMENT,SPECIFIC INVEST LN,PACKAGE 9:  CIVIL WORKS OF KHARKHORIN-TOSONTSENGEL SELECTED,C-3478-MOG-HT-9,#,6/19/2001,"MONGOLIAN EXPRESSWAY CO., LTD.",Mongolia,"519,149"
2001,Civil Works,Water/sanit/fld prot,"Works, Installation & Erection",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,"CONSTRUCTION OF RESERVOIR, HEATER HOUSE AND SECURITY SHED IN",3A1,#,10/22/2000,BAYAN-US CO. LTD,Mongolia,"140,648"
2001,Civil Works,Water/sanit/fld prot,"Works, Installation & Erection",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF DRAINS IN DAMBADARJAA AND CHINGELTEI GER ARE,3H,#,8/14/2000,BAIGUULAMJ LIMITED,Mongolia,"407,448"
2001,Civil Works,Water/sanit/fld prot,"Works, Installation & Erection",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,INSTALLATION OF POTABLE WATER MAINS PUMPING SYSTEMS,1E1-B,#,4/23/2001,"MONGOL ENERGY SERVICE CO., LTD",Mongolia,"60,969"
2001,Civil Works,Water/sanit/fld prot,"Works, Infrastructure",International Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF WATER SUPPLY SYSTEMS TO THE KIOSKS IN HAILAA,2B1,#,8/4/2000,HURD,Mongolia,"294,319"
2001,Civil Works,Water/sanit/fld prot,"Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF ASPHALT CONCRETE ROADS IN DENJIN AND HAILAAS,3H1,#,10/9/2000,ASBI COMPANY,Mongolia,"467,028"
2001,Civil Works,Water/sanit/fld prot,"Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF WATER SUPPLY SYSTEM IN SHAR KHAD GER AREA,3B1-A,#,4/23/2001,PUBLIC CONSTRUCTION SAN SHARE HOLDING COMPANY,Mongolia,"142,467"
2001,Civil Works,Water/sanit/fld prot,"Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF WATER SUPPLY SYSTEM TO KIOSKS IN DENJIN GER,3B1-B,#,3/20/2001,MILITARY CONSTRUCTION BOARD,Mongolia,"255,437"
2001,Civil Works,Water/sanit/fld prot,"Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF FOOTPATH IN HAILAAST GER AREA,3H2,#,5/17/2001,BATZAM,Mongolia,"149,667"
2001,Civil Works,Water/sanit/fld prot,"Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF TRANSMISSION MAIN TO HAILAAST RESERVOIR,1B-2A,#,4/25/2001,KHURD CO.,Mongolia,"420,565"
2001,Civil Works,Water/sanit/fld prot,"Works, Infrastructure",National Competitive Bidding,MN-UB SERV. IMPRMVT,P036052,INVESTMENT,SPECIFIC INVEST LN,CONSTRUCTION OF FOOTPATH IN DENJIN GER AREA,2H2,#,6/27/2001,MANLAI SERVICE,Mongolia,"147,471"
